product_id,product_name,composition,color,size,fit,additional material information,messages.waistrise,messages.clothingstyle,care instructions,material,description,imported,collection,price,messages.garmentlength,concept,style_id,color_id,scrapy_datetime
0875105011,Relaxed Jeans,Shell: Cotton 100%,Light denim blue,Inner leg: Length: 89.5 cm (Size 33),Relaxed fit,Recycled cotton 20%,Regular waist,,Tumble dry medium,keyFibreType,Light denim blue,Yes,,"
                $22.99",Long,DENIM,0875105,011,2022-12-05 14:34:37.521016
0875105015,Relaxed Jeans,Cotton 100%,Light denim blue,Inner leg: Length: 89.5 cm (Size 33),Relaxed fit,Recycled cotton 20%,Regular waist,,Tumble dry medium,keyFibreType,Light denim blue,Yes,,"
                $22.99",Long,DENIM,0875105,015,2022-12-05 14:34:37.521016
0875105016,Relaxed Jeans,Shell: Cotton 100%,Denim blue,Inner leg: Length: 89.5 cm (Size 33),Relaxed fit,,Regular waist,,Only non-chlorine bleach when needed,keyFibreType,Denim blue,Yes,,"
                $39.99",Long,DENIM,0875105,016,2022-12-05 14:34:37.521016
0875105017,Relaxed Jeans,Shell: Cotton 100%,Dark denim blue,Inner leg: Length: 89.5 cm (Size 33),Relaxed fit,,Regular waist,,Only non-chlorine bleach when needed,keyFibreType,Dark denim blue,Yes,,"
                $39.99",Long,DENIM,0875105,017,2022-12-05 14:34:37.521016
0875105018,Relaxed Jeans,Shell: Cotton 100%,Pale denim blue,Inner leg: Length: 89.5 cm (Size 33),Relaxed fit,,Regular waist,,Only non-chlorine bleach when needed,keyFibreType,Pale denim blue,Yes,,"
                $39.99",Long,DENIM,0875105,018,2022-12-05 14:34:37.521016
0875105023,Relaxed Jeans,Shell: Cotton 100%,Black,Inner leg: Length: 89.5 cm (Size 33),Relaxed fit,,Regular waist,,Only non-chlorine bleach when needed,keyFibreType,Black,Yes,,"
                $39.99",Long,DENIM,0875105,023,2022-12-05 14:34:37.521016
0875105024,Relaxed Jeans,Shell: Cotton 100%,Light denim blue,Inner leg: Length: 89.5 cm (Size 33),Relaxed fit,,Regular waist,,Only non-chlorine bleach when needed,keyFibreType,Light denim blue,Yes,,"
                $39.99",Long,DENIM,0875105,024,2022-12-05 14:34:37.521016
0875105026,Relaxed Jeans,Cotton 100%,Light gray,Inner leg: Length: 89.5 cm (Size 33),Relaxed fit,,Regular waist,,Only non-chlorine bleach when needed,keyFibreType,Light gray,Yes,,"
                $39.99",Long,DENIM,0875105,026,2022-12-05 14:34:37.521016
0875105029,Relaxed Jeans,Shell: Cotton 100%,Black,Inner leg: Length: 89.5 cm (Size 33),Relaxed fit,,Regular waist,,Only non-chlorine bleach when needed,keyFibreType,Black,Yes,,"
                $39.99",Long,DENIM,0875105,029,2022-12-05 14:34:37.521016
0875105040,Relaxed Jeans,Shell: Cotton 100%,Denim blue,Inner leg: Length: 89.5 cm (Size 33),Relaxed fit,,Regular waist,,Machine wash cool,keyFibreType,Denim blue,Yes,,"
                $39.99",Long,DENIM,0875105,040,2022-12-05 14:34:37.521016
0875105042,Relaxed Jeans,Shell: Cotton 100%,Dark denim blue,Inner leg: Length: 89.5 cm (Size 33),Relaxed fit,,Regular waist,,Machine wash cool,keyFibreType,Dark denim blue,Yes,,"
                $39.99",Long,DENIM,0875105,042,2022-12-05 14:34:37.521016
0938875001,Slim Tapered Jeans,"Cotton 99%, Spandex 1%",Light denim blue,,Slim fit,Recycled cotton 20%,Regular waist,Tapered,Only non-chlorine bleach when needed,keyFibreType,Light denim blue,Yes,,"
                $29.99",Long,DENIM,0938875,001,2022-12-05 14:34:37.521016
0938875002,Slim Tapered Jeans,"Cotton 99%, Spandex 1%",White,,Slim fit,Recycled cotton 20%,Regular waist,Tapered,Only non-chlorine bleach when needed,keyFibreType,White,Yes,,"
                $39.99",Long,DENIM,0938875,002,2022-12-05 14:34:37.521016
0938875004,Slim Tapered Jeans,"Cotton 99%, Spandex 1%",Dark gray,,Slim fit,Recycled cotton 20%,Regular waist,Tapered,Only non-chlorine bleach when needed,keyFibreType,Dark gray,Yes,,"
                $18.99",Long,DENIM,0938875,004,2022-12-05 14:34:37.521016
0938875007,Slim Tapered Jeans,"Cotton 99%, Spandex 1%",Black,,Slim fit,,Regular waist,Tapered,Only non-chlorine bleach when needed,keyFibreType,Black,Yes,,"
                $39.99",Long,DENIM,0938875,007,2022-12-05 14:34:37.521016
0938875008,Slim Tapered Jeans,"Cotton 99%, Spandex 1%",Denim blue,,Slim fit,Recycled cotton 20%,Regular waist,Tapered,Only non-chlorine bleach when needed,keyFibreType,Denim blue,Yes,,"
                $39.99",Long,DENIM,0938875,008,2022-12-05 14:34:37.521016
0938875010,Slim Tapered Jeans,"Cotton 99%, Spandex 1%",Light blue,,Slim fit,,Regular waist,Tapered,Only non-chlorine bleach when needed,keyFibreType,Light blue,Yes,,"
                $22.99",Long,DENIM,0938875,010,2022-12-05 14:34:37.521016
0938875012,Slim Tapered Jeans,"Cotton 99%, Spandex 1%",Denim blue,,Slim fit,,Regular waist,Tapered,Only non-chlorine bleach when needed,keyFibreType,Denim blue,Yes,,"
                $39.99",Long,DENIM,0938875,012,2022-12-05 14:34:37.521016
0938875013,Slim Tapered Jeans,"Cotton 99%, Spandex 1%",Pale denim blue,,Slim fit,,Regular waist,Tapered,Only non-chlorine bleach when needed,keyFibreType,Pale denim blue,Yes,,"
                $21.99",Long,DENIM,0938875,013,2022-12-05 14:34:37.521016
0938875014,Slim Tapered Jeans,"Shell: Cotton 98%, Spandex 2%",Black,,Slim fit,,Regular waist,Tapered,Only non-chlorine bleach when needed,keyFibreType,Black,Yes,,"
                $29.99",Long,DENIM,0938875,014,2022-12-05 14:34:37.521016
